name;is_unsafe;has_unsafe_ops;has_unsupported_input;has_loop_or_iterator
<read::macho::symbol::MachOSymbolTable<'data, 'file, Mach, R> as read::traits::ObjectSymbolTable<'data>>::symbols;false;false;true;false
<read::pe::section::PeSection<'data, 'file, Pe, R> as read::traits::ObjectSection<'data>>::size;false;false;true;false
<macho::Section64<Endian> as read::macho::section::Section>::nreloc;false;false;true;false
read::macho::load_command::LoadCommandData::<'data, E>::segment_32;false;false;true;false
<read::elf::segment::ElfSegment<'data, 'file, Elf, R> as read::traits::ObjectSegment<'data>>::size;false;false;true;false
read::elf::dynamic::Dyn::val32;false;false;false;false
read::coff::import::ImportFile::<'data>::symbol;false;false;true;false
endian::Endian::read_u64_bytes;false;false;false;false
<macho::Nlist64<Endian> as read::macho::symbol::Nlist>::n_strx;false;false;true;false
<pe::AnonObjectHeaderBigobj as rustc_std_workspace_core::fmt::Debug>::fmt;false;false;true;false
read::elf::section::SectionHeader::gnu_hash;false;false;false;false
<elf::ProgramHeader32<Endian> as read::elf::segment::ProgramHeader>::p_vaddr;false;false;true;false
<read::Export<'data> as rustc_std_workspace_core::cmp::PartialEq>::eq;false;false;false;false
<pe::ImportObjectHeader as rustc_std_workspace_core::clone::Clone>::clone;false;false;true;false
<read::elf::relocation::ElfRelaIterator<'data, Elf> as rustc_std_workspace_core::iter::Iterator>::next;false;false;true;false
<pe::ImageNtHeaders64 as read::pe::file::ImageNtHeaders>::is_type_64;false;false;true;false
<read::ObjectKind as rustc_std_workspace_core::clone::Clone>::clone;false;false;false;false
<macho::SourceVersionCommand<E> as rustc_std_workspace_core::clone::Clone>::clone;false;false;true;false
<read::macho::section::MachOSection<'data, 'file, Mach, R> as rustc_std_workspace_core::fmt::Debug>::fmt;false;false;true;false
read::any::SectionRelocationIteratorInternal::Pe32;false;false;true;false
<pe::ImageNtHeaders32 as read::pe::file::ImageNtHeaders>::is_type_64;false;false;true;false
<pe::ImageFunctionEntry64 as rustc_std_workspace_core::clone::Clone>::clone;false;false;true;false
<elf::CompressionHeader64<Endian> as read::elf::compression::CompressionHeader>::ch_addralign;false;false;true;false
<macho::SegmentCommand32<Endian> as read::macho::segment::Segment>::vmaddr;false;false;true;false
<read::macho::file::MachOFile<'data, Mach, R> as read::traits::Object<'data>>::is_little_endian;false;false;true;false
<read::elf::symbol::ElfSymbol<'data, 'file, Elf, R> as read::traits::ObjectSymbol<'data>>::index;false;false;true;false
<macho::Section32<E> as rustc_std_workspace_core::clone::Clone>::clone;false;false;true;false
<pe::ImageAuxSymbolFunctionBeginEnd as rustc_std_workspace_core::clone::Clone>::clone;false;false;true;false
<read::elf::symbol::ElfSymbolTable<'data, 'file, Elf, R> as read::traits::ObjectSymbolTable<'data>>::symbols;false;false;true;false
<read::macho::section::MachOSection<'data, 'file, Mach, R> as read::traits::ObjectSection<'data>>::data;false;false;true;false
<endian::LittleEndian as rustc_std_workspace_core::cmp::PartialEq>::eq;false;false;false;false
<macho::Dylib<E> as rustc_std_workspace_core::clone::Clone>::clone;false;false;true;false
<endian::I64Bytes<E> as rustc_std_workspace_core::default::Default>::default;false;false;false;false
<read::any::Symbol<'data, 'file, R> as read::traits::ObjectSymbol<'data>>::is_definition;false;false;true;false
read::elf::symbol::Sym::is_local;false;false;false;false
<pe::ImageBoundImportDescriptor as rustc_std_workspace_core::fmt::Debug>::fmt;false;false;true;false
<common::SymbolFlags<Section, Symbol> as rustc_std_workspace_core::cmp::PartialEq>::eq;false;false;true;false
<pe::ImageDebugMisc as rustc_std_workspace_core::fmt::Debug>::fmt;false;false;true;false
<xcoff::FileHeader64 as rustc_std_workspace_core::clone::Clone>::clone;false;false;true;false
<read::coff::symbol::CoffSymbol<'data, 'file, R, Coff> as read::traits::ObjectSymbol<'data>>::kind;false;false;true;false
<read::xcoff::file::XcoffFile<'data, Xcoff, R> as read::traits::Object<'data>>::dynamic_relocations;false;false;true;false
<xcoff::AuxHeader32 as read::xcoff::file::AuxHeader>::o_datapsize;false;false;true;false
<common::SymbolFlags<Section, Symbol> as rustc_std_workspace_core::fmt::Debug>::fmt;false;false;true;false
<pe::ImageSymbolExBytes as rustc_std_workspace_core::clone::Clone>::clone;false;false;false;false
<macho::ThreadCommand<E> as rustc_std_workspace_core::fmt::Debug>::fmt;false;false;true;false
<read::coff::section::CoffSection<'data, 'file, R, Coff> as read::traits::ObjectSection<'data>>::file_range;false;false;true;false
read::xcoff::file::FileHeader::sections;false;false;true;false
<macho::MachHeader64<E> as rustc_std_workspace_core::fmt::Debug>::fmt;false;false;true;false
<pe::ImageFileHeader as read::coff::file::CoffHeader>::pointer_to_symbol_table;false;false;true;false
<read::any::Section<'data, 'file, R> as read::traits::ObjectSection<'data>>::relocations;false;false;true;false
<read::macho::segment::MachOSegmentIterator<'data, 'file, Mach, R> as rustc_std_workspace_core::fmt::Debug>::fmt;false;false;true;false
read::util::Bytes::<'data>::read_bytes_at;false;false;false;false
<read::SectionIndex as rustc_std_workspace_core::fmt::Display>::fmt;false;false;true;false
read::pe::import::ImportDescriptorIterator::<'data>::next;false;false;true;false
<xcoff::AuxHeader32 as read::xcoff::file::AuxHeader>::o_toc;false;false;true;false
<xcoff::FileHeader64 as read::xcoff::file::FileHeader>::f_nscns;false;false;true;false
<elf::NoteHeader64<Endian> as read::elf::note::NoteHeader>::n_descsz;false;false;true;false
<read::any::Symbol<'data, 'file, R> as read::traits::ObjectSymbol<'data>>::scope;false;false;true;false
read::archive::ArchiveFile::<'data, R>::member;false;false;true;false
<macho::SubLibraryCommand<E> as rustc_std_workspace_core::clone::Clone>::clone;false;false;true;false
read::elf::file::ElfFile::<'data, Elf, R>::data;false;false;true;false
<elf::Verdaux<E> as rustc_std_workspace_core::fmt::Debug>::fmt;false;false;true;false
<read::xcoff::section::XcoffSection<'data, 'file, Xcoff, R> as read::traits::ObjectSection<'data>>::data;false;false;true;false
read::macho::load_command::LoadCommandData::<'data, E>::uuid;false;false;true;false
<elf::FileHeader32<Endian> as read::elf::file::FileHeader>::e_entry;false;false;true;false
<macho::FatArch64 as read::macho::fat::FatArch>::cputype;false;false;true;false
<read::any::ComdatSectionIterator<'data, 'file, R> as rustc_std_workspace_core::fmt::Debug>::fmt;false;false;true;false
<xcoff::Rel32 as rustc_std_workspace_core::clone::Clone>::clone;false;false;true;false
read::coff::symbol::SymbolTable::<'data, R, Coff>::aux_file_name;false;false;true;false
<elf::ProgramHeader64<Endian> as read::elf::segment::ProgramHeader>::p_type;false;false;true;false
read::pe::file::PeFile::<'data, Pe, R>::data_directory;false;false;true;false
read::any::SymbolInternal::Xcoff64;false;false;true;false
<read::xcoff::section::XcoffSectionIterator<'data, 'file, Xcoff, R> as rustc_std_workspace_core::fmt::Debug>::fmt;false;false;true;false
<xcoff::FileHeader32 as read::xcoff::file::FileHeader>::f_nscns;false;false;true;false
<read::read_cache::ReadCacheRange<'a, R> as rustc_std_workspace_core::fmt::Debug>::fmt;false;false;true;false
<read::pe::file::PeFile<'data, Pe, R> as read::traits::Object<'data>>::symbol_by_index;false;false;true;false
<macho::MachHeader32<Endian> as read::macho::file::MachHeader>::is_big_endian;false;false;true;false
read::ObjectMapEntry::<'data>::size;false;false;true;false
read::util::Bytes;false;false;false;false
<read::coff::symbol::SymbolTable<'data, R, Coff> as rustc_std_workspace_core::fmt::Debug>::fmt;false;false;true;false
<read::coff::symbol::CoffSymbol<'data, 'file, R, Coff> as read::traits::ObjectSymbol<'data>>::is_local;false;false;true;false
<common::SectionKind as rustc_std_workspace_core::cmp::Eq>::assert_receiver_is_total_eq;false;false;false;false
read::pe::import::ImportTable::<'data>::new;false;false;false;false
<read::macho::dyld_cache::DyldSubCacheSlice<'data, E> as rustc_std_workspace_core::fmt::Debug>::fmt;false;false;true;false
read::util::StringTable::<'data, R>::get;false;false;true;false
read::coff::symbol::SymbolTable::<'data, R, Coff>::strings;false;false;true;false
<elf::Sym64<Endian> as read::elf::symbol::Sym>::st_other;false;false;true;false
<macho::MachHeader32<Endian> as read::macho::file::MachHeader>::flags;false;false;true;false
read::Relocation::encoding;false;false;true;false
read::elf::section::SectionHeader::compression;false;false;false;false
<macho::EncryptionInfoCommand32<E> as rustc_std_workspace_core::fmt::Debug>::fmt;false;false;true;false
read::any::ComdatIteratorInternal::Xcoff32;false;false;true;false
read::elf::file::FileHeader::phnum;false;false;false;false
common::SectionKind::is_bss;false;false;false;false
<read::coff::comdat::CoffComdat<'data, 'file, R, Coff> as rustc_std_workspace_core::fmt::Debug>::fmt;false;false;true;false
<read::any::File<'data, R> as read::traits::Object<'data>>::relative_address_base;false;false;true;false
<read::elf::version::VernauxIterator<'data, Elf> as rustc_std_workspace_core::clone::Clone>::clone;false;false;true;false
<read::any::SectionIteratorInternal<'data, 'file, R> as rustc_std_workspace_core::fmt::Debug>::fmt;false;false;true;false
<read::coff::file::CoffFile<'data, R, Coff> as read::traits::Object<'data>>::dynamic_relocations;false;false;true;false
<read::coff::section::CoffSegment<'data, 'file, R, Coff> as read::traits::ObjectSegment<'data>>::size;false;false;true;false
read::macho::file::MachOFile::<'data, Mach, R>::build_version;false;false;true;true
read::elf::version::VersionTable::<'data, Elf>::parse;false;false;true;true
<read::coff::file::CoffFile<'data, R, Coff> as read::traits::Object<'data>>::relative_address_base;false;false;true;false
<read::coff::symbol::CoffSymbolTable<'data, 'file, R, Coff> as rustc_std_workspace_core::fmt::Debug>::fmt;false;false;true;false
read::xcoff::section::SectionTable::<'data, Xcoff>::len;false;false;true;false
<macho::Section32<E> as rustc_std_workspace_core::fmt::Debug>::fmt;false;false;true;false
<pe::ImageOptionalHeader32 as read::pe::file::ImageOptionalHeader>::file_alignment;false;false;true;false
