fn_name;inline_assembly;unsafe_dereference;unsafe_call;unsafe_static_access;unsafe_union_access
num::nonzero::NonZero::<u128>::trailing_zeros;0;0;1;0;0
num::nonzero::NonZero::<u128>::isolate_most_significant_one;0;0;1;0;0
num::nonzero::NonZero::<u128>::isolate_least_significant_one;0;0;1;0;0
num::nonzero::NonZero::<u128>::count_ones;0;0;1;0;0
num::nonzero::NonZero::<u128>::rotate_left;0;0;1;0;0
num::nonzero::NonZero::<u128>::rotate_right;0;0;1;0;0
num::nonzero::NonZero::<u128>::swap_bytes;0;0;1;0;0
num::nonzero::NonZero::<u128>::reverse_bits;0;0;1;0;0
num::nonzero::NonZero::<u128>::from_be;0;0;1;0;0
num::nonzero::NonZero::<u128>::from_le;0;0;1;0;0
num::nonzero::NonZero::<u128>::to_be;0;0;1;0;0
num::nonzero::NonZero::<u128>::to_le;0;0;1;0;0
num::nonzero::NonZero::<u128>::checked_add;0;0;1;0;0
num::nonzero::NonZero::<u128>::saturating_add;0;0;1;0;0
num::nonzero::NonZero::<u128>::unchecked_add;0;0;2;0;0
num::nonzero::NonZero::<u128>::checked_next_power_of_two;0;0;1;0;0
num::nonzero::NonZero::<u128>::midpoint;0;0;1;0;0
num::nonzero::NonZero::<u128>::isqrt;0;0;1;0;0
num::nonzero::NonZero::<u128>::cast_signed;0;0;1;0;0
num::nonzero::NonZero::<u128>::checked_mul;0;0;1;0;0
num::nonzero::NonZero::<u128>::saturating_mul;0;0;1;0;0
num::nonzero::NonZero::<u128>::unchecked_mul;0;0;2;0;0
num::nonzero::NonZero::<u128>::checked_pow;0;0;1;0;0
num::nonzero::NonZero::<u128>::saturating_pow;0;0;1;0;0
num::nonzero::NonZero::<u128>::div_ceil;0;0;1;0;0
num::nonzero::NonZero::<usize>::leading_zeros;0;0;1;0;0
num::nonzero::NonZero::<usize>::trailing_zeros;0;0;1;0;0
num::nonzero::NonZero::<usize>::isolate_most_significant_one;0;0;1;0;0
num::nonzero::NonZero::<usize>::isolate_least_significant_one;0;0;1;0;0
num::nonzero::NonZero::<usize>::count_ones;0;0;1;0;0
num::nonzero::NonZero::<usize>::rotate_left;0;0;1;0;0
num::nonzero::NonZero::<usize>::rotate_right;0;0;1;0;0
num::nonzero::NonZero::<usize>::swap_bytes;0;0;1;0;0
num::nonzero::NonZero::<usize>::reverse_bits;0;0;1;0;0
num::nonzero::NonZero::<usize>::from_be;0;0;1;0;0
num::nonzero::NonZero::<usize>::from_le;0;0;1;0;0
num::nonzero::NonZero::<usize>::to_be;0;0;1;0;0
num::nonzero::NonZero::<usize>::to_le;0;0;1;0;0
num::nonzero::NonZero::<usize>::checked_add;0;0;1;0;0
num::nonzero::NonZero::<usize>::saturating_add;0;0;1;0;0
num::nonzero::NonZero::<usize>::unchecked_add;0;0;2;0;0
num::nonzero::NonZero::<usize>::checked_next_power_of_two;0;0;1;0;0
num::nonzero::NonZero::<usize>::midpoint;0;0;1;0;0
num::nonzero::NonZero::<usize>::isqrt;0;0;1;0;0
num::nonzero::NonZero::<usize>::cast_signed;0;0;1;0;0
num::nonzero::NonZero::<usize>::checked_mul;0;0;1;0;0
num::nonzero::NonZero::<usize>::saturating_mul;0;0;1;0;0
num::nonzero::NonZero::<usize>::unchecked_mul;0;0;2;0;0
num::nonzero::NonZero::<usize>::checked_pow;0;0;1;0;0
num::nonzero::NonZero::<usize>::saturating_pow;0;0;1;0;0
num::nonzero::NonZero::<usize>::div_ceil;0;0;1;0;0
num::nonzero::NonZero::<i8>::leading_zeros;0;0;1;0;0
num::nonzero::NonZero::<i8>::trailing_zeros;0;0;1;0;0
num::nonzero::NonZero::<i8>::isolate_most_significant_one;0;0;1;0;0
num::nonzero::NonZero::<i8>::isolate_least_significant_one;0;0;1;0;0
num::nonzero::NonZero::<i8>::count_ones;0;0;1;0;0
num::nonzero::NonZero::<i8>::rotate_left;0;0;1;0;0
num::nonzero::NonZero::<i8>::rotate_right;0;0;1;0;0
num::nonzero::NonZero::<i8>::swap_bytes;0;0;1;0;0
num::nonzero::NonZero::<i8>::reverse_bits;0;0;1;0;0
num::nonzero::NonZero::<i8>::from_be;0;0;1;0;0
num::nonzero::NonZero::<i8>::from_le;0;0;1;0;0
num::nonzero::NonZero::<i8>::to_be;0;0;1;0;0
num::nonzero::NonZero::<i8>::to_le;0;0;1;0;0
num::nonzero::NonZero::<i8>::abs;0;0;1;0;0
num::nonzero::NonZero::<i8>::checked_abs;0;0;1;0;0
num::nonzero::NonZero::<i8>::overflowing_abs;0;0;1;0;0
num::nonzero::NonZero::<i8>::saturating_abs;0;0;1;0;0
num::nonzero::NonZero::<i8>::wrapping_abs;0;0;1;0;0
num::nonzero::NonZero::<i8>::unsigned_abs;0;0;1;0;0
num::nonzero::NonZero::<i8>::checked_neg;0;0;1;0;0
num::nonzero::NonZero::<i8>::overflowing_neg;0;0;1;0;0
num::nonzero::NonZero::<i8>::wrapping_neg;0;0;1;0;0
num::nonzero::NonZero::<i8>::cast_unsigned;0;0;1;0;0
num::nonzero::NonZero::<i8>::checked_mul;0;0;1;0;0
num::nonzero::NonZero::<i8>::saturating_mul;0;0;1;0;0
num::nonzero::NonZero::<i8>::unchecked_mul;0;0;2;0;0
num::nonzero::NonZero::<i8>::checked_pow;0;0;1;0;0
num::nonzero::NonZero::<i8>::saturating_pow;0;0;1;0;0
<num::nonzero::NonZero<i8> as ops::arith::Neg>::neg;0;0;1;0;0
num::nonzero::NonZero::<i16>::leading_zeros;0;0;1;0;0
num::nonzero::NonZero::<i16>::trailing_zeros;0;0;1;0;0
num::nonzero::NonZero::<i16>::isolate_most_significant_one;0;0;1;0;0
num::nonzero::NonZero::<i16>::isolate_least_significant_one;0;0;1;0;0
num::nonzero::NonZero::<i16>::count_ones;0;0;1;0;0
num::nonzero::NonZero::<i16>::rotate_left;0;0;1;0;0
num::nonzero::NonZero::<i16>::rotate_right;0;0;1;0;0
num::nonzero::NonZero::<i16>::swap_bytes;0;0;1;0;0
num::nonzero::NonZero::<i16>::reverse_bits;0;0;1;0;0
num::nonzero::NonZero::<i16>::from_be;0;0;1;0;0
num::nonzero::NonZero::<i16>::from_le;0;0;1;0;0
num::nonzero::NonZero::<i16>::to_be;0;0;1;0;0
num::nonzero::NonZero::<i16>::to_le;0;0;1;0;0
num::nonzero::NonZero::<i16>::abs;0;0;1;0;0
num::nonzero::NonZero::<i16>::checked_abs;0;0;1;0;0
num::nonzero::NonZero::<i16>::overflowing_abs;0;0;1;0;0
num::nonzero::NonZero::<i16>::saturating_abs;0;0;1;0;0
num::nonzero::NonZero::<i16>::wrapping_abs;0;0;1;0;0
num::nonzero::NonZero::<i16>::unsigned_abs;0;0;1;0;0
num::nonzero::NonZero::<i16>::checked_neg;0;0;1;0;0
num::nonzero::NonZero::<i16>::overflowing_neg;0;0;1;0;0
num::nonzero::NonZero::<i16>::wrapping_neg;0;0;1;0;0
num::nonzero::NonZero::<i16>::cast_unsigned;0;0;1;0;0
num::nonzero::NonZero::<i16>::checked_mul;0;0;1;0;0
num::nonzero::NonZero::<i16>::saturating_mul;0;0;1;0;0
num::nonzero::NonZero::<i16>::unchecked_mul;0;0;2;0;0
num::nonzero::NonZero::<i16>::checked_pow;0;0;1;0;0
num::nonzero::NonZero::<i16>::saturating_pow;0;0;1;0;0
<num::nonzero::NonZero<i16> as ops::arith::Neg>::neg;0;0;1;0;0
num::nonzero::NonZero::<i32>::leading_zeros;0;0;1;0;0
num::nonzero::NonZero::<i32>::trailing_zeros;0;0;1;0;0
num::nonzero::NonZero::<i32>::isolate_most_significant_one;0;0;1;0;0
num::nonzero::NonZero::<i32>::isolate_least_significant_one;0;0;1;0;0
num::nonzero::NonZero::<i32>::count_ones;0;0;1;0;0
num::nonzero::NonZero::<i32>::rotate_left;0;0;1;0;0
num::nonzero::NonZero::<i32>::rotate_right;0;0;1;0;0
num::nonzero::NonZero::<i32>::swap_bytes;0;0;1;0;0
num::nonzero::NonZero::<i32>::reverse_bits;0;0;1;0;0
num::nonzero::NonZero::<i32>::from_be;0;0;1;0;0
num::nonzero::NonZero::<i32>::from_le;0;0;1;0;0
num::nonzero::NonZero::<i32>::to_be;0;0;1;0;0
num::nonzero::NonZero::<i32>::to_le;0;0;1;0;0
num::nonzero::NonZero::<i32>::abs;0;0;1;0;0
num::nonzero::NonZero::<i32>::checked_abs;0;0;1;0;0
num::nonzero::NonZero::<i32>::overflowing_abs;0;0;1;0;0
num::nonzero::NonZero::<i32>::saturating_abs;0;0;1;0;0
num::nonzero::NonZero::<i32>::wrapping_abs;0;0;1;0;0
num::nonzero::NonZero::<i32>::unsigned_abs;0;0;1;0;0
num::nonzero::NonZero::<i32>::checked_neg;0;0;1;0;0
num::nonzero::NonZero::<i32>::overflowing_neg;0;0;1;0;0
num::nonzero::NonZero::<i32>::wrapping_neg;0;0;1;0;0
num::nonzero::NonZero::<i32>::cast_unsigned;0;0;1;0;0
num::nonzero::NonZero::<i32>::checked_mul;0;0;1;0;0
num::nonzero::NonZero::<i32>::saturating_mul;0;0;1;0;0
num::nonzero::NonZero::<i32>::unchecked_mul;0;0;2;0;0
num::nonzero::NonZero::<i32>::checked_pow;0;0;1;0;0
num::nonzero::NonZero::<i32>::saturating_pow;0;0;1;0;0
<num::nonzero::NonZero<i32> as ops::arith::Neg>::neg;0;0;1;0;0
num::nonzero::NonZero::<i64>::leading_zeros;0;0;1;0;0
num::nonzero::NonZero::<i64>::trailing_zeros;0;0;1;0;0
num::nonzero::NonZero::<i64>::isolate_most_significant_one;0;0;1;0;0
num::nonzero::NonZero::<i64>::isolate_least_significant_one;0;0;1;0;0
num::nonzero::NonZero::<i64>::count_ones;0;0;1;0;0
num::nonzero::NonZero::<i64>::rotate_left;0;0;1;0;0
num::nonzero::NonZero::<i64>::rotate_right;0;0;1;0;0
num::nonzero::NonZero::<i64>::swap_bytes;0;0;1;0;0
num::nonzero::NonZero::<i64>::reverse_bits;0;0;1;0;0
num::nonzero::NonZero::<i64>::from_be;0;0;1;0;0
num::nonzero::NonZero::<i64>::from_le;0;0;1;0;0
num::nonzero::NonZero::<i64>::to_be;0;0;1;0;0
num::nonzero::NonZero::<i64>::to_le;0;0;1;0;0
num::nonzero::NonZero::<i64>::abs;0;0;1;0;0
num::nonzero::NonZero::<i64>::checked_abs;0;0;1;0;0
num::nonzero::NonZero::<i64>::overflowing_abs;0;0;1;0;0
num::nonzero::NonZero::<i64>::saturating_abs;0;0;1;0;0
num::nonzero::NonZero::<i64>::wrapping_abs;0;0;1;0;0
num::nonzero::NonZero::<i64>::unsigned_abs;0;0;1;0;0
num::nonzero::NonZero::<i64>::checked_neg;0;0;1;0;0
num::nonzero::NonZero::<i64>::overflowing_neg;0;0;1;0;0
num::nonzero::NonZero::<i64>::wrapping_neg;0;0;1;0;0
num::nonzero::NonZero::<i64>::cast_unsigned;0;0;1;0;0
num::nonzero::NonZero::<i64>::checked_mul;0;0;1;0;0
num::nonzero::NonZero::<i64>::saturating_mul;0;0;1;0;0
num::nonzero::NonZero::<i64>::unchecked_mul;0;0;2;0;0
num::nonzero::NonZero::<i64>::checked_pow;0;0;1;0;0
num::nonzero::NonZero::<i64>::saturating_pow;0;0;1;0;0
<num::nonzero::NonZero<i64> as ops::arith::Neg>::neg;0;0;1;0;0
num::nonzero::NonZero::<i128>::leading_zeros;0;0;1;0;0
num::nonzero::NonZero::<i128>::trailing_zeros;0;0;1;0;0
num::nonzero::NonZero::<i128>::isolate_most_significant_one;0;0;1;0;0
num::nonzero::NonZero::<i128>::isolate_least_significant_one;0;0;1;0;0
num::nonzero::NonZero::<i128>::count_ones;0;0;1;0;0
num::nonzero::NonZero::<i128>::rotate_left;0;0;1;0;0
num::nonzero::NonZero::<i128>::rotate_right;0;0;1;0;0
num::nonzero::NonZero::<i128>::swap_bytes;0;0;1;0;0
num::nonzero::NonZero::<i128>::reverse_bits;0;0;1;0;0
num::nonzero::NonZero::<i128>::from_be;0;0;1;0;0
num::nonzero::NonZero::<i128>::from_le;0;0;1;0;0
num::nonzero::NonZero::<i128>::to_be;0;0;1;0;0
num::nonzero::NonZero::<i128>::to_le;0;0;1;0;0
num::nonzero::NonZero::<i128>::abs;0;0;1;0;0
num::nonzero::NonZero::<i128>::checked_abs;0;0;1;0;0
num::nonzero::NonZero::<i128>::overflowing_abs;0;0;1;0;0
num::nonzero::NonZero::<i128>::saturating_abs;0;0;1;0;0
num::nonzero::NonZero::<i128>::wrapping_abs;0;0;1;0;0
num::nonzero::NonZero::<i128>::unsigned_abs;0;0;1;0;0
num::nonzero::NonZero::<i128>::checked_neg;0;0;1;0;0
num::nonzero::NonZero::<i128>::overflowing_neg;0;0;1;0;0
num::nonzero::NonZero::<i128>::wrapping_neg;0;0;1;0;0
num::nonzero::NonZero::<i128>::cast_unsigned;0;0;1;0;0
num::nonzero::NonZero::<i128>::checked_mul;0;0;1;0;0
num::nonzero::NonZero::<i128>::saturating_mul;0;0;1;0;0
num::nonzero::NonZero::<i128>::unchecked_mul;0;0;2;0;0
num::nonzero::NonZero::<i128>::checked_pow;0;0;1;0;0
num::nonzero::NonZero::<i128>::saturating_pow;0;0;1;0;0
<num::nonzero::NonZero<i128> as ops::arith::Neg>::neg;0;0;1;0;0
num::nonzero::NonZero::<isize>::leading_zeros;0;0;1;0;0
num::nonzero::NonZero::<isize>::trailing_zeros;0;0;1;0;0
num::nonzero::NonZero::<isize>::isolate_most_significant_one;0;0;1;0;0
num::nonzero::NonZero::<isize>::isolate_least_significant_one;0;0;1;0;0
num::nonzero::NonZero::<isize>::count_ones;0;0;1;0;0
num::nonzero::NonZero::<isize>::rotate_left;0;0;1;0;0
num::nonzero::NonZero::<isize>::rotate_right;0;0;1;0;0
num::nonzero::NonZero::<isize>::swap_bytes;0;0;1;0;0
num::nonzero::NonZero::<isize>::reverse_bits;0;0;1;0;0
num::nonzero::NonZero::<isize>::from_be;0;0;1;0;0
num::nonzero::NonZero::<isize>::from_le;0;0;1;0;0
num::nonzero::NonZero::<isize>::to_be;0;0;1;0;0
num::nonzero::NonZero::<isize>::to_le;0;0;1;0;0
num::nonzero::NonZero::<isize>::abs;0;0;1;0;0
num::nonzero::NonZero::<isize>::checked_abs;0;0;1;0;0
num::nonzero::NonZero::<isize>::overflowing_abs;0;0;1;0;0
num::nonzero::NonZero::<isize>::saturating_abs;0;0;1;0;0
num::nonzero::NonZero::<isize>::wrapping_abs;0;0;1;0;0
num::nonzero::NonZero::<isize>::unsigned_abs;0;0;1;0;0
num::nonzero::NonZero::<isize>::checked_neg;0;0;1;0;0
num::nonzero::NonZero::<isize>::overflowing_neg;0;0;1;0;0
num::nonzero::NonZero::<isize>::wrapping_neg;0;0;1;0;0
num::nonzero::NonZero::<isize>::cast_unsigned;0;0;1;0;0
num::nonzero::NonZero::<isize>::checked_mul;0;0;1;0;0
num::nonzero::NonZero::<isize>::saturating_mul;0;0;1;0;0
num::nonzero::NonZero::<isize>::unchecked_mul;0;0;2;0;0
num::nonzero::NonZero::<isize>::checked_pow;0;0;1;0;0
num::nonzero::NonZero::<isize>::saturating_pow;0;0;1;0;0
<num::nonzero::NonZero<isize> as ops::arith::Neg>::neg;0;0;1;0;0
num::<impl i8>::checked_shl;0;0;1;0;0
num::<impl i8>::unbounded_shl;0;0;1;0;0
num::<impl i8>::checked_shr;0;0;1;0;0
num::<impl i8>::unbounded_shr;0;0;2;0;0
num::<impl i8>::checked_isqrt;0;0;3;0;0
num::<impl i8>::wrapping_shl;0;0;1;0;0
num::<impl i8>::wrapping_shr;0;0;1;0;0
num::<impl i8>::checked_ilog2;0;0;1;0;0
num::<impl i16>::checked_shl;0;0;1;0;0
num::<impl i16>::unbounded_shl;0;0;1;0;0
num::<impl i16>::checked_shr;0;0;1;0;0
num::<impl i16>::unbounded_shr;0;0;2;0;0
num::<impl i16>::checked_isqrt;0;0;3;0;0
num::<impl i16>::wrapping_shl;0;0;1;0;0
num::<impl i16>::wrapping_shr;0;0;1;0;0
num::<impl i16>::checked_ilog2;0;0;1;0;0
num::<impl i32>::checked_shl;0;0;1;0;0
num::<impl i32>::unbounded_shl;0;0;1;0;0
num::<impl i32>::checked_shr;0;0;1;0;0
num::<impl i32>::unbounded_shr;0;0;2;0;0
num::<impl i32>::checked_isqrt;0;0;3;0;0
num::<impl i32>::wrapping_shl;0;0;1;0;0
num::<impl i32>::wrapping_shr;0;0;1;0;0
num::<impl i32>::checked_ilog2;0;0;1;0;0
num::<impl i64>::checked_shl;0;0;1;0;0
num::<impl i64>::unbounded_shl;0;0;1;0;0
num::<impl i64>::checked_shr;0;0;1;0;0
num::<impl i64>::unbounded_shr;0;0;2;0;0
num::<impl i64>::checked_isqrt;0;0;3;0;0
num::<impl i64>::wrapping_shl;0;0;1;0;0
num::<impl i64>::wrapping_shr;0;0;1;0;0
num::<impl i64>::checked_ilog2;0;0;1;0;0
num::<impl i128>::checked_shl;0;0;1;0;0
num::<impl i128>::unbounded_shl;0;0;1;0;0
num::<impl i128>::checked_shr;0;0;1;0;0
num::<impl i128>::unbounded_shr;0;0;2;0;0
num::<impl i128>::checked_isqrt;0;0;3;0;0
num::<impl i128>::wrapping_shl;0;0;1;0;0
num::<impl i128>::wrapping_shr;0;0;1;0;0
num::<impl i128>::checked_ilog2;0;0;1;0;0
num::<impl isize>::checked_shl;0;0;1;0;0
num::<impl isize>::unbounded_shl;0;0;1;0;0
num::<impl isize>::checked_shr;0;0;1;0;0
num::<impl isize>::unbounded_shr;0;0;2;0;0
num::<impl isize>::checked_isqrt;0;0;3;0;0
num::<impl isize>::wrapping_shl;0;0;1;0;0
num::<impl isize>::wrapping_shr;0;0;1;0;0
num::<impl isize>::checked_ilog2;0;0;1;0;0
num::<impl u8>::unchecked_disjoint_bitor;0;0;1;0;0
num::<impl u8>::checked_shl;0;0;1;0;0
num::<impl u8>::unbounded_shl;0;0;1;0;0
num::<impl u8>::checked_shr;0;0;1;0;0
num::<impl u8>::unbounded_shr;0;0;1;0;0
num::<impl u8>::wrapping_shl;0;0;1;0;0
num::<impl u8>::wrapping_shr;0;0;1;0;0
num::<impl u8>::carrying_add;0;0;1;0;0
num::<impl u8>::borrowing_sub;0;0;1;0;0
num::<impl u8>::isqrt;0;0;1;0;0
num::<impl u8>::one_less_than_next_power_of_two;0;0;1;0;0
