fn_name;boxes;closures;coroutines;floats;fn_defs;fn_ptrs;generics;interior_muts;raw_ptrs;recursive_types;mut_refs;simd;unions
<boxed::thin::ThinBox<T> as core::ops::Deref>::deref;0;0;0;0;0;0;1;0;1;2;0;0;0
<boxed::thin::ThinBox<T> as core::ops::DerefMut>::deref_mut;0;0;0;0;0;0;1;0;1;2;1;0;0
<boxed::thin::ThinBox<T> as core::ops::Drop>::drop;0;0;0;0;0;0;1;0;1;2;1;0;0
boxed::thin::ThinBox::<T>::meta;0;0;0;0;0;0;1;0;1;2;0;0;0
boxed::thin::ThinBox::<T>::data;0;0;0;0;0;0;1;0;1;2;0;0;0
boxed::thin::ThinBox::<T>::with_header;0;0;0;0;0;0;1;0;1;2;0;0;0
boxed::thin::WithHeader::<H>::drop;0;0;0;0;0;0;3;0;2;1;0;0;0
<boxed::thin::WithHeader<H>::drop::DropGuard<H> as core::ops::Drop>::drop;0;0;0;0;0;0;2;0;1;1;1;0;0
boxed::thin::WithHeader::<H>::header;0;0;0;0;0;0;2;0;1;1;0;0;0
boxed::thin::WithHeader::<H>::value;0;0;0;0;0;0;2;0;1;1;0;0;0
<boxed::thin::ThinBox<T> as core::error::Error>::source;0;0;0;0;0;0;1;0;1;2;0;0;0
boxed::Box::<T>::from_raw;0;0;0;0;0;0;1;0;1;0;0;0;0
boxed::Box::<T>::from_non_null;0;0;0;0;0;0;1;0;1;1;0;0;0
boxed::Box::<T, A>::from_raw_in;0;0;0;0;0;0;2;0;1;0;0;0;0
boxed::Box::<T, A>::from_non_null_in;0;0;0;0;0;0;2;0;1;1;0;0;0
boxed::Box::<T, A>::as_mut_ptr;1;0;0;0;0;0;2;0;0;0;1;0;0
<boxed::Box<T, A> as core::ops::Drop>::drop;1;0;0;0;0;0;2;0;0;0;1;0;0
<boxed::Box<T, A> as core::clone::Clone>::clone_from;2;0;0;0;0;0;4;0;0;0;1;0;0
<boxed::Box<[T], A> as core::clone::Clone>::clone_from;2;0;0;0;0;0;4;0;0;0;1;0;0
<boxed::Box<T, A> as core::hash::Hash>::hash;1;0;0;0;0;0;3;0;0;0;1;0;0
<boxed::Box<T, A> as core::hash::Hasher>::write;1;0;0;0;0;0;2;0;0;0;1;0;0
<boxed::Box<T, A> as core::hash::Hasher>::write_u8;1;0;0;0;0;0;2;0;0;0;1;0;0
<boxed::Box<T, A> as core::hash::Hasher>::write_u16;1;0;0;0;0;0;2;0;0;0;1;0;0
<boxed::Box<T, A> as core::hash::Hasher>::write_u32;1;0;0;0;0;0;2;0;0;0;1;0;0
<boxed::Box<T, A> as core::hash::Hasher>::write_u64;1;0;0;0;0;0;2;0;0;0;1;0;0
<boxed::Box<T, A> as core::hash::Hasher>::write_u128;1;0;0;0;0;0;2;0;0;0;1;0;0
<boxed::Box<T, A> as core::hash::Hasher>::write_usize;1;0;0;0;0;0;2;0;0;0;1;0;0
<boxed::Box<T, A> as core::hash::Hasher>::write_i8;1;0;0;0;0;0;2;0;0;0;1;0;0
<boxed::Box<T, A> as core::hash::Hasher>::write_i16;1;0;0;0;0;0;2;0;0;0;1;0;0
<boxed::Box<T, A> as core::hash::Hasher>::write_i32;1;0;0;0;0;0;2;0;0;0;1;0;0
<boxed::Box<T, A> as core::hash::Hasher>::write_i64;1;0;0;0;0;0;2;0;0;0;1;0;0
<boxed::Box<T, A> as core::hash::Hasher>::write_i128;1;0;0;0;0;0;2;0;0;0;1;0;0
<boxed::Box<T, A> as core::hash::Hasher>::write_isize;1;0;0;0;0;0;2;0;0;0;1;0;0
<boxed::Box<T, A> as core::hash::Hasher>::write_length_prefix;1;0;0;0;0;0;2;0;0;0;1;0;0
<boxed::Box<T, A> as core::hash::Hasher>::write_str;1;0;0;0;0;0;2;0;0;0;1;0;0
<boxed::Box<T, A> as core::fmt::Display>::fmt;1;0;0;0;0;0;3;0;0;2;2;0;0
<boxed::Box<T, A> as core::fmt::Debug>::fmt;1;0;0;0;0;0;3;0;0;2;2;0;0
<boxed::Box<T, A> as core::fmt::Pointer>::fmt;1;0;0;0;0;0;3;0;0;2;2;0;0
<boxed::Box<T, A> as core::ops::DerefMut>::deref_mut;1;0;0;0;0;0;2;0;0;0;1;0;0
<boxed::Box<F, A> as core::ops::FnMut<Args>>::call_mut;1;0;0;0;0;0;3;0;0;0;1;0;0
<boxed::Box<F, A> as core::ops::AsyncFnMut<Args>>::async_call_mut;1;0;0;0;0;0;3;0;0;0;1;0;0
<boxed::Box<T, A> as core::borrow::BorrowMut<T>>::borrow_mut;1;0;0;0;0;0;2;0;0;0;1;0;0
<boxed::Box<T, A> as core::convert::AsMut<T>>::as_mut;1;0;0;0;0;0;2;0;0;0;1;0;0
<boxed::Box<G, A> as core::ops::Coroutine<R>>::resume;1;0;0;0;0;0;4;0;0;0;1;0;0
boxed::<impl core::ops::Coroutine<R> for core::pin::Pin<boxed::Box<G, A>>>::resume;1;0;0;0;0;0;4;0;0;1;1;0;0
<boxed::Box<F, A> as core::future::Future>::poll;1;0;0;0;0;3;4;0;2;11;3;0;0
<boxed::Box<E> as core::error::Error>::provide;1;0;0;0;0;0;2;0;0;1;1;0;0
<bstr::ByteString as core::clone::Clone>::clone;0;0;0;0;0;0;3;0;1;7;0;0;0
bstr::ByteString::as_bytes;0;0;0;0;0;0;3;0;1;7;0;0;0
bstr::ByteString::as_bytestr;0;0;0;0;0;0;3;0;1;7;0;0;0
bstr::ByteString::as_mut_bytestr;0;0;0;0;0;0;3;0;1;7;1;0;0
<bstr::ByteString as core::ops::Deref>::deref;0;0;0;0;0;0;3;0;1;7;0;0;0
<bstr::ByteString as core::ops::DerefMut>::deref_mut;0;0;0;0;0;0;3;0;1;7;1;0;0
<bstr::ByteString as core::fmt::Debug>::fmt;0;0;0;0;0;0;4;0;1;9;2;0;0
<bstr::ByteString as core::fmt::Display>::fmt;0;0;0;0;0;0;4;0;1;9;2;0;0
<bstr::ByteString as core::convert::AsRef<[u8]>>::as_ref;0;0;0;0;0;0;3;0;1;7;0;0;0
<bstr::ByteString as core::convert::AsRef<core::bstr::ByteStr>>::as_ref;0;0;0;0;0;0;3;0;1;7;0;0;0
<bstr::ByteString as core::convert::AsMut<[u8]>>::as_mut;0;0;0;0;0;0;3;0;1;7;1;0;0
<bstr::ByteString as core::convert::AsMut<core::bstr::ByteStr>>::as_mut;0;0;0;0;0;0;3;0;1;7;1;0;0
<bstr::ByteString as core::borrow::Borrow<[u8]>>::borrow;0;0;0;0;0;0;3;0;1;7;0;0;0
<bstr::ByteString as core::borrow::Borrow<core::bstr::ByteStr>>::borrow;0;0;0;0;0;0;3;0;1;7;0;0;0
<bstr::ByteString as core::borrow::BorrowMut<[u8]>>::borrow_mut;0;0;0;0;0;0;3;0;1;7;1;0;0
<bstr::ByteString as core::borrow::BorrowMut<core::bstr::ByteStr>>::borrow_mut;0;0;0;0;0;0;3;0;1;7;1;0;0
bstr::<impl core::convert::From<bstr::ByteString> for vec::Vec<u8>>::from;0;0;0;0;0;0;3;0;1;7;0;0;0
bstr::<impl core::convert::From<bstr::ByteString> for borrow::Cow<'a, core::bstr::ByteStr>>::from;0;0;0;0;0;0;3;0;1;7;0;0;0
bstr::<impl core::convert::From<&'a bstr::ByteString> for borrow::Cow<'a, core::bstr::ByteStr>>::from;0;0;0;0;0;0;3;0;1;7;0;0;0
<bstr::ByteString as core::ops::Index<usize>>::index;0;0;0;0;0;0;3;0;1;7;0;0;0
<bstr::ByteString as core::ops::Index<core::ops::RangeFull>>::index;0;0;0;0;0;0;3;0;1;7;0;0;0
<bstr::ByteString as core::ops::Index<core::ops::Range<usize>>>::index;0;0;0;0;0;0;4;0;1;8;0;0;0
<bstr::ByteString as core::ops::Index<core::ops::RangeInclusive<usize>>>::index;0;0;0;0;0;0;4;0;1;8;0;0;0
<bstr::ByteString as core::ops::Index<core::ops::RangeFrom<usize>>>::index;0;0;0;0;0;0;4;0;1;7;0;0;0
<bstr::ByteString as core::ops::Index<core::ops::RangeTo<usize>>>::index;0;0;0;0;0;0;4;0;1;7;0;0;0
<bstr::ByteString as core::ops::Index<core::ops::RangeToInclusive<usize>>>::index;0;0;0;0;0;0;4;0;1;7;0;0;0
<bstr::ByteString as core::ops::IndexMut<usize>>::index_mut;0;0;0;0;0;0;3;0;1;7;1;0;0
<bstr::ByteString as core::ops::IndexMut<core::ops::RangeFull>>::index_mut;0;0;0;0;0;0;3;0;1;7;1;0;0
<bstr::ByteString as core::ops::IndexMut<core::ops::Range<usize>>>::index_mut;0;0;0;0;0;0;4;0;1;8;1;0;0
<bstr::ByteString as core::ops::IndexMut<core::ops::RangeInclusive<usize>>>::index_mut;0;0;0;0;0;0;4;0;1;8;1;0;0
<bstr::ByteString as core::ops::IndexMut<core::ops::RangeFrom<usize>>>::index_mut;0;0;0;0;0;0;4;0;1;7;1;0;0
<bstr::ByteString as core::ops::IndexMut<core::ops::RangeTo<usize>>>::index_mut;0;0;0;0;0;0;4;0;1;7;1;0;0
<bstr::ByteString as core::ops::IndexMut<core::ops::RangeToInclusive<usize>>>::index_mut;0;0;0;0;0;0;4;0;1;7;1;0;0
<bstr::ByteString as core::hash::Hash>::hash;0;0;0;0;0;0;4;0;1;7;1;0;0
<bstr::ByteString as core::cmp::PartialEq>::eq;0;0;0;0;0;0;6;0;2;14;0;0;0
<bstr::ByteString as core::cmp::PartialEq<vec::Vec<u8>>>::eq;0;0;0;0;0;0;6;0;2;14;0;0;0
bstr::<impl core::cmp::PartialEq<bstr::ByteString> for vec::Vec<u8>>::eq;0;0;0;0;0;0;6;0;2;14;0;0;0
<bstr::ByteString as core::cmp::PartialEq<[u8]>>::eq;0;0;0;0;0;0;3;0;1;7;0;0;0
bstr::<impl core::cmp::PartialEq<bstr::ByteString> for [u8]>::eq;0;0;0;0;0;0;3;0;1;7;0;0;0
<bstr::ByteString as core::cmp::PartialEq<&[u8]>>::eq;0;0;0;0;0;0;3;0;1;7;0;0;0
bstr::<impl core::cmp::PartialEq<bstr::ByteString> for &[u8]>::eq;0;0;0;0;0;0;3;0;1;7;0;0;0
<bstr::ByteString as core::cmp::PartialEq<string::String>>::eq;0;0;0;0;0;0;6;0;2;14;0;0;0
bstr::<impl core::cmp::PartialEq<bstr::ByteString> for string::String>::eq;0;0;0;0;0;0;6;0;2;14;0;0;0
<bstr::ByteString as core::cmp::PartialEq<str>>::eq;0;0;0;0;0;0;3;0;1;7;0;0;0
bstr::<impl core::cmp::PartialEq<bstr::ByteString> for str>::eq;0;0;0;0;0;0;3;0;1;7;0;0;0
<bstr::ByteString as core::cmp::PartialEq<&str>>::eq;0;0;0;0;0;0;3;0;1;7;0;0;0
bstr::<impl core::cmp::PartialEq<bstr::ByteString> for &str>::eq;0;0;0;0;0;0;3;0;1;7;0;0;0
<bstr::ByteString as core::cmp::PartialEq<core::bstr::ByteStr>>::eq;0;0;0;0;0;0;3;0;1;7;0;0;0
bstr::<impl core::cmp::PartialEq<bstr::ByteString> for core::bstr::ByteStr>::eq;0;0;0;0;0;0;3;0;1;7;0;0;0
<bstr::ByteString as core::cmp::PartialOrd<core::bstr::ByteStr>>::partial_cmp;0;0;0;0;0;0;3;0;1;7;0;0;0
bstr::<impl core::cmp::PartialOrd<bstr::ByteString> for core::bstr::ByteStr>::partial_cmp;0;0;0;0;0;0;3;0;1;7;0;0;0
<bstr::ByteString as core::cmp::PartialEq<&core::bstr::ByteStr>>::eq;0;0;0;0;0;0;3;0;1;7;0;0;0
bstr::<impl core::cmp::PartialEq<bstr::ByteString> for &core::bstr::ByteStr>::eq;0;0;0;0;0;0;3;0;1;7;0;0;0
<bstr::ByteString as core::cmp::PartialOrd<&core::bstr::ByteStr>>::partial_cmp;0;0;0;0;0;0;3;0;1;7;0;0;0
