fn_name;boxes;closures;coroutines;floats;fn_defs;fn_ptrs;generics;interior_muts;raw_ptrs;recursive_types;mut_refs;simd;unions
f64::<impl f64>::recip;0;0;0;1;0;0;0;0;0;0;0;0;0
f64::<impl f64>::to_degrees;0;0;0;1;0;0;0;0;0;0;0;0;0
f64::<impl f64>::to_radians;0;0;0;1;0;0;0;0;0;0;0;0;0
f64::<impl f64>::max;0;0;0;2;0;0;0;0;0;0;0;0;0
f64::<impl f64>::min;0;0;0;2;0;0;0;0;0;0;0;0;0
f64::<impl f64>::maximum;0;0;0;2;0;0;0;0;0;0;0;0;0
f64::<impl f64>::minimum;0;0;0;2;0;0;0;0;0;0;0;0;0
f64::<impl f64>::midpoint;0;0;0;2;0;0;0;0;0;0;0;0;0
f64::<impl f64>::to_int_unchecked;0;0;0;1;0;0;0;0;0;0;0;0;0
f64::<impl f64>::to_bits;0;0;0;1;0;0;0;0;0;0;0;0;0
f64::<impl f64>::to_be_bytes;0;0;0;1;0;0;0;0;0;0;0;0;0
f64::<impl f64>::to_le_bytes;0;0;0;1;0;0;0;0;0;0;0;0;0
f64::<impl f64>::to_ne_bytes;0;0;0;1;0;0;0;0;0;0;0;0;0
f64::<impl f64>::total_cmp;0;0;0;2;0;0;0;0;0;0;0;0;0
f64::<impl f64>::clamp;0;0;0;3;0;0;0;0;0;0;0;0;0
f64::<impl f64>::clamp::do_panic;0;0;0;2;0;0;0;0;0;0;0;0;0
f64::<impl f64>::clamp::do_panic::runtime;0;0;0;2;0;0;0;0;0;0;0;0;0
f64::<impl f64>::clamp::do_panic::compiletime;0;0;0;2;0;0;0;0;0;0;0;0;0
f64::<impl f64>::abs;0;0;0;1;0;0;0;0;0;0;0;0;0
f64::<impl f64>::signum;0;0;0;1;0;0;0;0;0;0;0;0;0
f64::<impl f64>::copysign;0;0;0;2;0;0;0;0;0;0;0;0;0
num::bignum::Big32x40::digits;0;0;0;0;0;0;0;0;0;1;0;0;0
num::bignum::Big32x40::get_bit;0;0;0;0;0;0;0;0;0;1;0;0;0
num::bignum::Big32x40::is_zero;0;0;0;0;0;0;0;0;0;1;0;0;0
num::bignum::Big32x40::bit_length;0;0;0;0;0;0;0;0;0;1;0;0;0
num::bignum::Big32x40::add;0;0;0;0;0;0;0;0;0;2;1;0;0
num::bignum::Big32x40::add_small;0;0;0;0;0;0;0;0;0;1;1;0;0
num::bignum::Big32x40::sub;0;0;0;0;0;0;0;0;0;2;1;0;0
num::bignum::Big32x40::mul_small;0;0;0;0;0;0;0;0;0;1;1;0;0
num::bignum::Big32x40::mul_pow2;0;0;0;0;0;0;0;0;0;1;1;0;0
num::bignum::Big32x40::mul_pow5;0;0;0;0;0;0;0;0;0;1;1;0;0
num::bignum::Big32x40::mul_digits;0;0;0;0;0;0;0;0;0;1;1;0;0
num::bignum::Big32x40::mul_digits::mul_inner;0;0;0;0;0;0;0;0;0;0;1;0;0
num::bignum::Big32x40::div_rem_small;0;0;0;0;0;0;0;0;0;1;1;0;0
num::bignum::Big32x40::div_rem;0;0;0;0;0;0;0;0;0;4;2;0;0
<num::bignum::Big32x40 as cmp::PartialEq>::eq;0;0;0;0;0;0;0;0;0;2;0;0;0
<num::bignum::Big32x40 as cmp::PartialOrd>::partial_cmp;0;0;0;0;0;0;0;0;0;2;0;0;0
<num::bignum::Big32x40 as cmp::Ord>::cmp;0;0;0;0;0;0;0;0;0;2;0;0;0
<num::bignum::Big32x40 as clone::Clone>::clone;0;0;0;0;0;0;0;0;0;1;0;0;0
<num::bignum::Big32x40 as fmt::Debug>::fmt;0;0;0;0;0;0;1;0;0;3;2;0;0
num::bignum::tests::Big8x3::digits;0;0;0;0;0;0;0;0;0;1;0;0;0
num::bignum::tests::Big8x3::get_bit;0;0;0;0;0;0;0;0;0;1;0;0;0
