name;is_unsafe;has_unsafe_ops;has_unsupported_input;has_loop_or_iterator
<os::fd::owned::OwnedFd as os::fd::raw::IntoRawFd>::into_raw_fd;false;false;false;false
process::Child::kill;false;false;true;false
<sync::mpsc::RecvTimeoutError as core::error::Error>::description;false;false;false;false
<alloc::System as core::alloc::Allocator>::allocate;false;false;false;false
io::impls::<impl io::BufRead for alloc_crate::boxed::Box<B>>::read_line;false;true;true;false
<io::stdio::StdinRaw as io::Read>::is_read_vectored;false;false;false;false
sync::mpsc::Receiver::<T>::recv;false;false;true;false
backtrace_rs::symbolize::gimli::Mapping::mk;false;false;true;false
<path::StripPrefixError as core::clone::Clone>::clone;false;false;false;false
sync::once_lock::OnceLock::<T>::take;false;true;true;false
<fs::DirEntry as os::unix::fs::DirEntryExt2>::file_name_ref;false;false;true;false
<fs::File as sys_common::AsInner<sys::fs::unix::File>>::as_inner;false;false;false;false
<process::ChildStdin as io::Write>::is_write_vectored;false;false;false;false
io::pipe::pipe;false;false;false;false
panic::panic_any;false;false;false;false
<ffi::os_str::OsStr as core::hash::Hash>::hash;false;false;true;false
io::buffered::linewriter::LineWriter::<W>::new;false;false;false;false
sys::thread_local::destructors::list::run;true;true;false;true
<io::buffered::bufreader::BufReader<R> as io::Seek>::seek;false;false;true;false
io::error::Error::_new;false;false;false;false
sys::fs::unix::File::fsync::os_fsync;true;true;false;false
<sync::poison::mutex::MappedMutexGuard<'_, T> as core::ops::Deref>::deref;false;true;true;false
io::stdio::Stdout::lock;false;false;true;false
<sys::fs::unix::cfm::CachedFileMetadata as io::Write>::write;false;false;true;false
collections::hash::map::OccupiedEntry::<'a, K, V>::insert;false;false;true;false
path::<impl core::cmp::PartialOrd<path::PathBuf> for ffi::os_str::OsString>::partial_cmp;false;false;true;false
os::unix::net::addr::SocketAddr::is_unnamed;false;false;false;false
path::PathBuf::_set_file_name;false;false;true;false
<alloc_crate::vec::Vec<u8> as io::copy::BufferedWriterSpec>::copy_from;false;false;true;false
os::unix::net::ancillary::ScmRights;false;false;false;false
<os::unix::net::ancillary::SocketCred as core::clone::Clone>::clone;false;false;true;false
sys_common::wtf8::is_code_point_boundary;false;false;false;false
<io::util::Repeat as io::SizeHint>::upper_bound;false;false;false;false
<alloc_crate::rc::UniqueRc<T> as os::fd::owned::AsFd>::as_fd;false;false;true;false
backtrace_rs::symbolize::gimli::elf::<impl backtrace_rs::symbolize::gimli::Mapping>::new;false;false;false;false
<process::Command as os::unix::process::CommandExt>::process_group;false;false;true;false
<sys::fs::unix::cfm::CachedFileMetadata as io::Write>::write_vectored;false;false;true;false
sys::backtrace::output_filename;false;false;true;false
<sync::mpsc::Sender<T> as core::clone::Clone>::clone;false;false;true;false
sys::os_str::bytes::Buf::reserve;false;false;true;false
ffi::os_str::OsString::shrink_to_fit;false;false;true;false
f128::<impl f128>::log;false;false;true;false
<ffi::os_str::OsStr as core::cmp::PartialEq<alloc_crate::borrow::Cow<'a, ffi::os_str::OsStr>>>::eq;false;false;true;false
sys::pal::unix::stack_overflow::imp::current_guard;true;true;false;false
sys::net::connection::socket::unix::Socket::passcred;false;false;false;false
io::Write::is_write_vectored;false;false;false;false
sys_common::process::CommandEnv::capture;false;false;true;true
process::ExitStatusError::code_nonzero;false;false;false;false
net::udp::UdpSocket::write_timeout;false;false;false;false
path::<impl core::clone::Clone for alloc_crate::boxed::Box<path::Path>>::clone;false;true;false;false
process::ExitStatus;false;false;false;false
thread::available_parallelism;false;false;false;false
f16::<impl f16>::div_euclid;false;false;true;false
<&io::util::Sink as io::Write>::write;false;false;true;false
collections::hash::set::Entry::Vacant;false;false;true;false
os::unix::net::listener::UnixListener::bind;false;true;false;false
<&fs::File as io::Write>::flush;false;false;true;false
<sys::fs::unix::cfm::CachedFileMetadata as io::Write>::is_write_vectored;false;false;true;false
collections::hash::set::Entry::<'a, T, S>::get;false;false;true;false
net::tcp::TcpListener::only_v6;false;false;false;false
os::unix::net::ancillary::SocketCred::set_pid;false;false;true;false
<os::unix::net::stream::UnixStream as io::Write>::is_write_vectored;false;false;false;false
<isize as sys::pal::unix::IsMinusOne>::is_minus_one;false;false;false;false
f64::<impl f64>::tanh;false;true;true;false
sys_common::wtf8::slice_unchecked;true;true;false;false
<backtrace_rs::symbolize::gimli::parse_running_mmaps::MapsEntry as core::fmt::Debug>::fmt;false;false;true;false
ffi::os_str::OsStr::from_inner;false;true;false;false
path::Path::starts_with;false;false;false;false
<io::pipe::PipeWriter as io::Write>::is_write_vectored;false;false;false;false
io::stdio::print_to_buffer_if_capture_used;false;false;true;false
path::<impl core::cmp::PartialOrd<ffi::os_str::OsStr> for alloc_crate::borrow::Cow<'a, path::Path>>::partial_cmp;false;false;true;false
<ffi::os_str::OsStr as sys_common::AsInner<sys::os_str::bytes::Slice>>::as_inner;false;false;false;false
<path::Iter<'_> as core::fmt::Debug>::fmt;false;false;true;false
