fn_name;boxes;closures;coroutines;floats;fn_defs;fn_ptrs;generics;interior_muts;raw_ptrs;recursive_types;mut_refs;simd;unions
<endian::I64Bytes<E> as rustc_std_workspace_core::cmp::Eq>::assert_receiver_is_total_eq;0;0;0;0;0;0;1;0;0;1;0;0;0
<endian::I64Bytes<E> as rustc_std_workspace_core::cmp::PartialOrd>::partial_cmp;0;0;0;0;0;0;2;0;0;2;0;0;0
<endian::I64Bytes<E> as rustc_std_workspace_core::cmp::Ord>::cmp;0;0;0;0;0;0;2;0;0;2;0;0;0
<endian::I64Bytes<E> as rustc_std_workspace_core::hash::Hash>::hash;0;0;0;0;0;0;2;0;0;1;1;0;0
endian::I64Bytes::<E>::get;0;0;0;0;0;0;2;0;0;1;0;0;0
endian::I64Bytes::<E>::set;0;0;0;0;0;0;2;0;0;1;1;0;0
<endian::U16Bytes<E> as rustc_std_workspace_core::fmt::Debug>::fmt;0;0;0;0;0;0;2;0;0;3;2;0;0
<endian::U32Bytes<E> as rustc_std_workspace_core::fmt::Debug>::fmt;0;0;0;0;0;0;2;0;0;3;2;0;0
<endian::U64Bytes<E> as rustc_std_workspace_core::fmt::Debug>::fmt;0;0;0;0;0;0;2;0;0;3;2;0;0
<endian::I16Bytes<E> as rustc_std_workspace_core::fmt::Debug>::fmt;0;0;0;0;0;0;2;0;0;3;2;0;0
<endian::I32Bytes<E> as rustc_std_workspace_core::fmt::Debug>::fmt;0;0;0;0;0;0;2;0;0;3;2;0;0
<endian::I64Bytes<E> as rustc_std_workspace_core::fmt::Debug>::fmt;0;0;0;0;0;0;2;0;0;3;2;0;0
pod::from_bytes_mut;0;0;0;0;0;0;0;0;0;0;1;0;0
pod::slice_from_bytes_mut;0;0;0;0;0;0;0;0;0;0;1;0;0
pod::slice_from_all_bytes_mut;0;0;0;0;0;0;0;0;0;0;1;0;0
pod::bytes_of_mut;0;0;0;0;0;0;1;0;0;0;1;0;0
pod::bytes_of_slice_mut;0;0;0;0;0;0;1;0;0;0;1;0;0
read::read_ref::ReadRef::read_bytes;0;0;0;0;0;0;1;0;0;0;1;0;0
read::read_ref::ReadRef::read;0;0;0;0;0;0;1;0;0;0;1;0;0
read::read_ref::ReadRef::read_slice;0;0;0;0;0;0;1;0;0;0;1;0;0
<&'a [u8] as read::read_ref::ReadRef<'a>>::read_bytes_at_until;0;0;0;0;0;0;1;0;0;1;0;0;0
<read::read_cache::ReadCache<R> as rustc_std_workspace_core::fmt::Debug>::fmt;2;0;0;0;0;0;10;1;1;40;2;0;4
<read::read_cache::ReadCacheInternal<R> as rustc_std_workspace_core::fmt::Debug>::fmt;2;0;0;0;0;0;10;0;1;37;2;0;4
read::read_cache::ReadCacheInternal::<R>::range_in_bounds;2;0;0;0;0;0;10;0;1;36;1;0;4
read::read_cache::ReadCacheInternal::<R>::len;2;0;0;0;0;0;9;0;1;35;1;0;4
read::read_cache::ReadCache::<R>::range;2;0;0;0;0;0;9;1;1;38;0;0;4
read::read_cache::ReadCache::<R>::clear;2;0;0;0;0;0;9;1;1;38;1;0;4
read::read_cache::ReadCache::<R>::into_inner;2;0;0;0;0;0;9;1;1;38;0;0;4
<&'a read::read_cache::ReadCache<R> as read::read_ref::ReadRef<'a>>::len;2;0;0;0;0;0;10;1;1;37;0;0;4
<&'a read::read_cache::ReadCache<R> as read::read_ref::ReadRef<'a>>::read_bytes_at;2;0;0;0;0;0;10;1;1;37;0;0;4
<&'a read::read_cache::ReadCache<R> as read::read_ref::ReadRef<'a>>::read_bytes_at_until;2;0;0;0;0;0;11;1;1;38;0;0;4
<read::read_cache::ReadCacheRange<'a, R> as rustc_std_workspace_core::fmt::Debug>::fmt;2;0;0;0;0;0;11;1;1;42;2;0;4
<read::read_cache::ReadCacheRange<'a, R> as rustc_std_workspace_core::clone::Clone>::clone;2;0;0;0;0;0;10;1;1;40;0;0;4
<read::read_cache::ReadCacheRange<'a, R> as read::read_ref::ReadRef<'a>>::len;2;0;0;0;0;0;10;1;1;40;0;0;4
<read::read_cache::ReadCacheRange<'a, R> as read::read_ref::ReadRef<'a>>::read_bytes_at;2;0;0;0;0;0;10;1;1;40;0;0;4
<read::read_cache::ReadCacheRange<'a, R> as read::read_ref::ReadRef<'a>>::read_bytes_at_until;2;0;0;0;0;0;11;1;1;41;0;0;4
<read::util::Bytes<'data> as rustc_std_workspace_core::fmt::Debug>::fmt;0;0;0;0;0;0;1;0;0;2;2;0;0
read::util::Bytes::<'data>::skip;0;0;0;0;0;0;0;0;0;0;1;0;0
read::util::Bytes::<'data>::read_bytes;0;0;0;0;0;0;0;0;0;0;1;0;0
read::util::Bytes::<'data>::read;0;0;0;0;0;0;0;0;0;0;1;0;0
read::util::Bytes::<'data>::read_slice;0;0;0;0;0;0;0;0;0;0;1;0;0
read::util::Bytes::<'data>::read_string;0;0;0;0;0;0;0;0;0;0;1;0;0
read::util::Bytes::<'data>::read_uleb128;0;0;0;0;0;0;0;0;0;0;1;0;0
read::util::Bytes::<'data>::read_sleb128;0;0;0;0;0;0;0;0;0;0;1;0;0
read::util::debug_list_bytes;0;0;0;0;0;0;1;0;0;2;2;0;0
<read::util::DebugByte as rustc_std_workspace_core::fmt::Debug>::fmt;0;0;0;0;0;0;1;0;0;2;2;0;0
<read::util::DebugLen as rustc_std_workspace_core::fmt::Debug>::fmt;0;0;0;0;0;0;1;0;0;2;2;0;0
<read::util::ByteString<'data> as rustc_std_workspace_core::fmt::Debug>::fmt;0;0;0;0;0;0;1;0;0;2;2;0;0
<read::util::StringTable<'data, R> as rustc_std_workspace_core::fmt::Debug>::fmt;0;0;0;0;0;0;3;0;0;4;2;0;0
<read::util::StringTable<'data, R> as rustc_std_workspace_core::clone::Clone>::clone;0;0;0;0;0;0;2;0;0;2;0;0;0
read::util::StringTable::<'data, R>::get;0;0;0;0;0;0;2;0;0;2;0;0;0
<read::any::File<'data, R> as rustc_std_workspace_core::fmt::Debug>::fmt;0;0;0;0;0;0;12;0;1;319;2;0;0
read::any::File::<'data, R>::parse_dyld_cache_image;0;0;0;0;0;0;9;0;1;34;0;0;0
read::any::File::<'data, R>::format;0;0;0;0;0;0;11;0;1;317;0;0;0
<read::any::File<'data, R> as read::traits::Object<'data>>::architecture;0;0;0;0;0;0;11;0;1;317;0;0;0
<read::any::File<'data, R> as read::traits::Object<'data>>::sub_architecture;0;0;0;0;0;0;11;0;1;317;0;0;0
<read::any::File<'data, R> as read::traits::Object<'data>>::is_little_endian;0;0;0;0;0;0;11;0;1;317;0;0;0
<read::any::File<'data, R> as read::traits::Object<'data>>::is_64;0;0;0;0;0;0;11;0;1;317;0;0;0
<read::any::File<'data, R> as read::traits::Object<'data>>::kind;0;0;0;0;0;0;11;0;1;317;0;0;0
<read::any::File<'data, R> as read::traits::Object<'data>>::segments;0;0;0;0;0;0;11;0;1;317;0;0;0
<read::any::File<'data, R> as read::traits::Object<'data>>::section_by_name_bytes;0;0;0;0;0;0;11;0;1;317;0;0;0
<read::any::File<'data, R> as read::traits::Object<'data>>::section_by_index;0;0;0;0;0;0;11;0;1;317;0;0;0
<read::any::File<'data, R> as read::traits::Object<'data>>::sections;0;0;0;0;0;0;11;0;1;317;0;0;0
<read::any::File<'data, R> as read::traits::Object<'data>>::comdats;0;0;0;0;0;0;11;0;1;317;0;0;0
<read::any::File<'data, R> as read::traits::Object<'data>>::symbol_by_index;0;0;0;0;0;0;11;0;1;317;0;0;0
<read::any::File<'data, R> as read::traits::Object<'data>>::symbols;0;0;0;0;0;0;11;0;1;317;0;0;0
<read::any::File<'data, R> as read::traits::Object<'data>>::symbol_table;0;0;0;0;0;0;11;0;1;317;0;0;0
<read::any::File<'data, R> as read::traits::Object<'data>>::dynamic_symbols;0;0;0;0;0;0;11;0;1;317;0;0;0
<read::any::File<'data, R> as read::traits::Object<'data>>::dynamic_symbol_table;0;0;0;0;0;0;11;0;1;317;0;0;0
<read::any::File<'data, R> as read::traits::Object<'data>>::dynamic_relocations;0;0;0;0;0;0;11;0;1;317;0;0;0
<read::any::File<'data, R> as read::traits::Object<'data>>::symbol_map;0;0;0;0;0;0;11;0;1;317;0;0;0
<read::any::File<'data, R> as read::traits::Object<'data>>::object_map;0;0;0;0;0;0;11;0;1;317;0;0;0
<read::any::File<'data, R> as read::traits::Object<'data>>::imports;0;0;0;0;0;0;11;0;1;317;0;0;0
<read::any::File<'data, R> as read::traits::Object<'data>>::exports;0;0;0;0;0;0;11;0;1;317;0;0;0
<read::any::File<'data, R> as read::traits::Object<'data>>::has_debug_symbols;0;0;0;0;0;0;11;0;1;317;0;0;0
<read::any::File<'data, R> as read::traits::Object<'data>>::mach_uuid;0;0;0;0;0;0;11;0;1;317;0;0;0
<read::any::File<'data, R> as read::traits::Object<'data>>::build_id;0;0;0;0;0;0;11;0;1;317;0;0;0
<read::any::File<'data, R> as read::traits::Object<'data>>::gnu_debuglink;0;0;0;0;0;0;11;0;1;317;0;0;0
<read::any::File<'data, R> as read::traits::Object<'data>>::gnu_debugaltlink;0;0;0;0;0;0;11;0;1;317;0;0;0
<read::any::File<'data, R> as read::traits::Object<'data>>::pdb_info;0;0;0;0;0;0;11;0;1;317;0;0;0
<read::any::File<'data, R> as read::traits::Object<'data>>::relative_address_base;0;0;0;0;0;0;11;0;1;317;0;0;0
<read::any::File<'data, R> as read::traits::Object<'data>>::entry;0;0;0;0;0;0;11;0;1;317;0;0;0
<read::any::File<'data, R> as read::traits::Object<'data>>::flags;0;0;0;0;0;0;11;0;1;317;0;0;0
<read::any::SegmentIterator<'data, 'file, R> as rustc_std_workspace_core::fmt::Debug>::fmt;0;0;0;0;0;0;19;0;2;321;2;0;0
<read::any::SegmentIteratorInternal<'data, 'file, R> as rustc_std_workspace_core::fmt::Debug>::fmt;0;0;0;0;0;0;19;0;2;320;2;0;0
<read::any::SegmentIterator<'data, 'file, R> as rustc_std_workspace_core::iter::Iterator>::next;0;0;0;0;0;0;18;0;2;319;1;0;0
<read::any::SegmentInternal<'data, 'file, R> as rustc_std_workspace_core::fmt::Debug>::fmt;0;0;0;0;0;0;18;0;1;311;2;0;0
<read::any::Segment<'data, 'file, R> as rustc_std_workspace_core::fmt::Debug>::fmt;0;0;0;0;0;0;18;0;1;312;2;0;0
<read::any::Segment<'data, 'file, R> as read::traits::ObjectSegment<'data>>::address;0;0;0;0;0;0;17;0;1;310;0;0;0
<read::any::Segment<'data, 'file, R> as read::traits::ObjectSegment<'data>>::size;0;0;0;0;0;0;17;0;1;310;0;0;0
<read::any::Segment<'data, 'file, R> as read::traits::ObjectSegment<'data>>::align;0;0;0;0;0;0;17;0;1;310;0;0;0
<read::any::Segment<'data, 'file, R> as read::traits::ObjectSegment<'data>>::file_range;0;0;0;0;0;0;17;0;1;310;0;0;0
<read::any::Segment<'data, 'file, R> as read::traits::ObjectSegment<'data>>::data;0;0;0;0;0;0;17;0;1;310;0;0;0
<read::any::Segment<'data, 'file, R> as read::traits::ObjectSegment<'data>>::data_range;0;0;0;0;0;0;17;0;1;310;0;0;0
<read::any::Segment<'data, 'file, R> as read::traits::ObjectSegment<'data>>::name_bytes;0;0;0;0;0;0;17;0;1;310;0;0;0
<read::any::Segment<'data, 'file, R> as read::traits::ObjectSegment<'data>>::name;0;0;0;0;0;0;17;0;1;310;0;0;0
<read::any::Segment<'data, 'file, R> as read::traits::ObjectSegment<'data>>::flags;0;0;0;0;0;0;17;0;1;310;0;0;0
<read::any::SectionIterator<'data, 'file, R> as rustc_std_workspace_core::fmt::Debug>::fmt;0;0;0;0;0;0;20;0;2;333;2;0;0
<read::any::SectionIteratorInternal<'data, 'file, R> as rustc_std_workspace_core::fmt::Debug>::fmt;0;0;0;0;0;0;20;0;2;332;2;0;0
<read::any::SectionIterator<'data, 'file, R> as rustc_std_workspace_core::iter::Iterator>::next;0;0;0;0;0;0;19;0;2;331;1;0;0
<read::any::Section<'data, 'file, R> as rustc_std_workspace_core::fmt::Debug>::fmt;0;0;0;0;0;0;18;0;1;324;2;0;0
<read::any::Section<'data, 'file, R> as read::traits::ObjectSection<'data>>::index;0;0;0;0;0;0;17;0;1;322;0;0;0
<read::any::Section<'data, 'file, R> as read::traits::ObjectSection<'data>>::address;0;0;0;0;0;0;17;0;1;322;0;0;0
<read::any::Section<'data, 'file, R> as read::traits::ObjectSection<'data>>::size;0;0;0;0;0;0;17;0;1;322;0;0;0
<read::any::Section<'data, 'file, R> as read::traits::ObjectSection<'data>>::align;0;0;0;0;0;0;17;0;1;322;0;0;0
<read::any::Section<'data, 'file, R> as read::traits::ObjectSection<'data>>::file_range;0;0;0;0;0;0;17;0;1;322;0;0;0
<read::any::Section<'data, 'file, R> as read::traits::ObjectSection<'data>>::data;0;0;0;0;0;0;17;0;1;322;0;0;0
<read::any::Section<'data, 'file, R> as read::traits::ObjectSection<'data>>::data_range;0;0;0;0;0;0;17;0;1;322;0;0;0
<read::any::Section<'data, 'file, R> as read::traits::ObjectSection<'data>>::compressed_file_range;0;0;0;0;0;0;17;0;1;322;0;0;0
<read::any::Section<'data, 'file, R> as read::traits::ObjectSection<'data>>::compressed_data;0;0;0;0;0;0;17;0;1;322;0;0;0
<read::any::Section<'data, 'file, R> as read::traits::ObjectSection<'data>>::name_bytes;0;0;0;0;0;0;17;0;1;322;0;0;0
<read::any::Section<'data, 'file, R> as read::traits::ObjectSection<'data>>::name;0;0;0;0;0;0;17;0;1;322;0;0;0
<read::any::Section<'data, 'file, R> as read::traits::ObjectSection<'data>>::segment_name_bytes;0;0;0;0;0;0;17;0;1;322;0;0;0
<read::any::Section<'data, 'file, R> as read::traits::ObjectSection<'data>>::segment_name;0;0;0;0;0;0;17;0;1;322;0;0;0
<read::any::Section<'data, 'file, R> as read::traits::ObjectSection<'data>>::kind;0;0;0;0;0;0;17;0;1;322;0;0;0
<read::any::Section<'data, 'file, R> as read::traits::ObjectSection<'data>>::relocations;0;0;0;0;0;0;17;0;1;322;0;0;0
<read::any::Section<'data, 'file, R> as read::traits::ObjectSection<'data>>::relocation_map;0;0;0;0;0;0;17;0;1;322;0;0;0
<read::any::Section<'data, 'file, R> as read::traits::ObjectSection<'data>>::flags;0;0;0;0;0;0;17;0;1;322;0;0;0
<read::any::ComdatIterator<'data, 'file, R> as rustc_std_workspace_core::fmt::Debug>::fmt;0;0;0;0;0;0;20;0;2;309;2;0;0
<read::any::ComdatIteratorInternal<'data, 'file, R> as rustc_std_workspace_core::fmt::Debug>::fmt;0;0;0;0;0;0;20;0;2;308;2;0;0
<read::any::ComdatIterator<'data, 'file, R> as rustc_std_workspace_core::iter::Iterator>::next;0;0;0;0;0;0;19;0;2;307;1;0;0
<read::any::Comdat<'data, 'file, R> as rustc_std_workspace_core::fmt::Debug>::fmt;0;0;0;0;0;0;18;0;1;313;2;0;0
<read::any::Comdat<'data, 'file, R> as read::traits::ObjectComdat<'data>>::kind;0;0;0;0;0;0;17;0;1;311;0;0;0
<read::any::Comdat<'data, 'file, R> as read::traits::ObjectComdat<'data>>::symbol;0;0;0;0;0;0;17;0;1;311;0;0;0
<read::any::Comdat<'data, 'file, R> as read::traits::ObjectComdat<'data>>::name_bytes;0;0;0;0;0;0;17;0;1;311;0;0;0
<read::any::Comdat<'data, 'file, R> as read::traits::ObjectComdat<'data>>::name;0;0;0;0;0;0;17;0;1;311;0;0;0
<read::any::Comdat<'data, 'file, R> as read::traits::ObjectComdat<'data>>::sections;0;0;0;0;0;0;17;0;1;311;0;0;0
<read::any::ComdatSectionIterator<'data, 'file, R> as rustc_std_workspace_core::fmt::Debug>::fmt;0;0;0;0;0;0;19;0;2;311;2;0;0
<read::any::ComdatSectionIteratorInternal<'data, 'file, R> as rustc_std_workspace_core::fmt::Debug>::fmt;0;0;0;0;0;0;19;0;2;310;2;0;0
<read::any::ComdatSectionIterator<'data, 'file, R> as rustc_std_workspace_core::iter::Iterator>::next;0;0;0;0;0;0;18;0;2;309;1;0;0
<read::any::SymbolTable<'data, 'file, R> as rustc_std_workspace_core::fmt::Debug>::fmt;0;0;0;0;0;0;16;0;1;202;2;0;0
